Params;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_algorithm;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;mean_test_score;std_test_score;rank_test_score;split0_train_score;split1_train_score;split2_train_score;mean_train_score;std_train_score
{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'uniform'};0.36895283063252765;0.10846427497275977;3.7104528745015464;0.40613322137136465;auto;2;uniform;{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'uniform'};0.8927911275415896;0.835820895522388;0.7947761194029851;0.8412895226286423;0.04023043093210765;6;0.9393656716417911;0.9526462395543176;0.9693593314763231;0.9537904142241439;0.012271559513055912
{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.32456286748250324;0.01534092021918185;3.7462124029795327;0.3706190760155965;auto;2;distance;{'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'};0.9075785582255084;0.8488805970149254;0.7910447761194029;0.8493490390576566;0.04761220503495703;4;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'};0.33627978960673016;0.02106448675836504;3.6291131178538003;0.24098405040619686;auto;5;uniform;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'};0.8946395563770795;0.871268656716418;0.8208955223880597;0.8623682579045258;0.03077618622131339;1;0.9319029850746269;0.9507892293407614;0.9600742804085423;0.9475888316079768;0.011721415711812287
{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.3406461874643962;0.02412120241204706;3.496083974838257;0.06621935097521983;auto;5;distance;{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'distance'};0.8946395563770795;0.871268656716418;0.8208955223880597;0.8623682579045258;0.03077618622131339;1;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'};0.32546496391296387;0.00406598578326378;3.7500076293945312;0.06993488080647073;auto;10;uniform;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'};0.88909426987061;0.8582089552238806;0.789179104477612;0.8456292622442654;0.04177487196672871;5;0.9057835820895522;0.9257195914577531;0.9442896935933147;0.9252642890468733;0.015723350597101584
{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'};0.32005588213602704;0.01001316092637195;3.700246969858805;0.07047179085534332;auto;10;distance;{'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'};0.9057301293900185;0.8638059701492538;0.8003731343283582;0.856788592684439;0.04332840836675353;3;1.0;1.0;1.0;1.0;0.0
{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'uniform'};0.022913455963134766;0.00165085766762922;0.09374252955118816;0.012111380084932873;brute;2;uniform;{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'uniform'};0.30868761552680224;0.29850746268656714;0.2966417910447761;0.3013019218846869;0.005301601893180397;12;0.20149253731343283;0.2135561745589601;0.2135561745589601;0.2095349621437843;0.005686853134724616
{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'};0.023395458857218426;0.002631544202502253;0.07453187306722005;0.006475928588930529;brute;2;distance;{'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'};0.31053604436229204;0.3003731343283582;0.2947761194029851;0.3019218846869188;0.006530917593121191;11;0.2042910447761194;0.21727019498607242;0.21727019498607242;0.21294381158275474;0.006118430084997723
{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform'};0.025232950846354168;0.003433359137709139;0.08990637461344402;0.007683293022545162;brute;5;uniform;{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'uniform'};0.2975970425138632;0.30223880597014924;0.31716417910447764;0.30564166150030997;0.008347005358384634;8;0.19776119402985073;0.21448467966573817;0.21541318477251625;0.20921968615603506;0.008111239600607676
{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance'};0.027072588602701824;0.0033502373850239063;0.09241223335266113;0.013798272787768559;brute;5;distance;{'algorithm': 'brute', 'n_neighbors': 5, 'weights': 'distance'};0.2975970425138632;0.30223880597014924;0.31716417910447764;0.30564166150030997;0.008347005358384634;8;0.2042910447761194;0.22284122562674094;0.22376973073351902;0.21696733371212643;0.008971501410027177
{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'uniform'};0.02740653355916341;0.003334169824763924;0.10711781183878581;0.01964096770475983;brute;10;uniform;{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'uniform'};0.2975970425138632;0.2966417910447761;0.31529850746268656;0.3031618102913825;0.008570887067304985;10;0.18936567164179105;0.21262766945218198;0.2135561745589601;0.20518317188431104;0.011191083232494167
{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance'};0.026237646738688152;0.004142078306437809;0.09206843376159668;0.011216344319510978;brute;10;distance;{'algorithm': 'brute', 'n_neighbors': 10, 'weights': 'distance'};0.3031423290203327;0.30597014925373134;0.31716417910447764;0.3087414755114693;0.006053188509541187;7;0.2042910447761194;0.22284122562674094;0.22376973073351902;0.21696733371212643;0.008971501410027177
